status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group,amount_group
بدون حساب جاری,15,وام های موجود پرداخت شده,خودرو (کارکرده),3812,A62,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A123,23,A143,A152,1,کارگر ماهر,1,A192,A201,1,25-18,5000-2000
بدون حساب جاری,11,وضعیت بحرانی/سایر,رادیو/تلویزیون,1154,A62,بیکار,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,57,A143,A152,3,کارگر ساده,1,A191,A201,1,65-56,2000-1000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,1657,A61,۱-۴ سال,2,مرد مجرد,A101,2,A121,27,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1603,A61,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,55,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,2000-1000
کمتر از ۰ مارک,18,وضعیت بحرانی/سایر,خودرو (نو),5302,A61,بیشتر از ۷ سال,2,مرد مجرد,A101,4,A124,36,A143,A153,3,مدیر/خویش فرما,1,A192,A201,1,45-36,10000-5000
بدون حساب جاری,12,وضعیت بحرانی/سایر,آموزش,2748,A61,بیشتر از ۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A124,57,A141,A153,3,کارگر ساده,1,A191,A201,1,65-56,5000-2000
بدون حساب جاری,10,وضعیت بحرانی/سایر,خودرو (نو),1231,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A121,32,A143,A152,2,کارگر ساده,2,A191,A202,1,35-26,2000-1000
۰-۲۰۰ مارک,15,وام های موجود پرداخت شده,رادیو/تلویزیون,802,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,3,A123,37,A143,A152,1,کارگر ماهر,2,A191,A201,0,45-36,کمتر از 1000
بدون حساب جاری,36,وضعیت بحرانی/سایر,کسب و کار,6304,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,36,A143,A152,2,کارگر ماهر,1,A191,A201,1,45-36,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1533,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A123,38,A142,A152,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
کمتر از ۰ مارک,14,وام های موجود پرداخت شده,خودرو (نو),8978,A61,بیشتر از ۷ سال,1,مرد مطلقه/جدا شده,A101,4,A122,45,A143,A152,1,مدیر/خویش فرما,1,A192,A202,0,45-36,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,999,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A123,25,A143,A152,2,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
بدون حساب جاری,18,وام های موجود پرداخت شده,خودرو (نو),2662,A65,۴-۷ سال,4,مرد مجرد,A101,3,A122,32,A143,A152,1,کارگر ماهر,1,A191,A202,1,35-26,5000-2000
بدون حساب جاری,12,وضعیت بحرانی/سایر,لوازم خانگی,1402,A63,۴-۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A123,37,A143,A151,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
۰-۲۰۰ مارک,48,همه پرداخت شده,خودرو (نو),12169,A65,بیکار,4,مرد مجرد,A102,4,A124,36,A143,A153,1,مدیر/خویش فرما,1,A192,A201,1,45-36,بیشتر از 10000
۰-۲۰۰ مارک,48,وام های موجود پرداخت شده,رادیو/تلویزیون,3060,A61,۴-۷ سال,4,مرد مجرد,A101,4,A121,28,A143,A152,2,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
کمتر از ۰ مارک,30,وام های موجود پرداخت شده,تعمیرات,11998,A61,کمتر از ۱ سال,1,مرد مطلقه/جدا شده,A101,1,A124,34,A143,A152,1,کارگر ساده,1,A192,A201,0,35-26,بیشتر از 10000
بدون حساب جاری,9,وام های موجود پرداخت شده,رادیو/تلویزیون,2697,A61,۱-۴ سال,1,مرد مجرد,A101,2,A121,32,A143,A152,1,کارگر ماهر,2,A191,A201,1,35-26,5000-2000
بدون حساب جاری,18,وضعیت بحرانی/سایر,رادیو/تلویزیون,2404,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A123,26,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,1262,A65,بیشتر از ۷ سال,2,مرد مطلقه/جدا شده,A101,4,A122,49,A143,A152,1,کارگر ساده,1,A192,A201,1,55-46,2000-1000
بدون حساب جاری,6,وام های موجود پرداخت شده,لوازم خانگی,4611,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A122,32,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1901,A62,۱-۴ سال,4,مرد مجرد,A101,4,A123,29,A143,A151,1,مدیر/خویش فرما,1,A192,A201,1,35-26,2000-1000
بدون حساب جاری,15,وضعیت بحرانی/سایر,خودرو (کارکرده),3368,A64,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A124,23,A143,A151,2,کارگر ماهر,1,A192,A201,1,25-18,5000-2000
بدون حساب جاری,12,وام های موجود پرداخت شده,لوازم خانگی,1574,A61,۱-۴ سال,4,مرد مجرد,A101,2,A121,50,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,2000-1000
بیشتر از ۲۰۰ مارک,18,همه پرداخت شده,رادیو/تلویزیون,1445,A65,۴-۷ سال,4,مرد مجرد,A101,4,A123,49,A141,A152,1,کارگر ساده,1,A191,A201,1,55-46,2000-1000
بدون حساب جاری,15,وضعیت بحرانی/سایر,لوازم خانگی,1520,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A122,63,A143,A152,1,کارگر ماهر,1,A191,A201,1,65-56,2000-1000
۰-۲۰۰ مارک,24,وضعیت بحرانی/سایر,خودرو (نو),3878,A62,کمتر از ۱ سال,4,مرد مطلقه/جدا شده,A101,2,A123,37,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
کمتر از ۰ مارک,47,وام های موجود پرداخت شده,خودرو (نو),10722,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,1,A121,35,A143,A152,1,کارگر ساده,1,A192,A201,1,35-26,بیشتر از 10000
کمتر از ۰ مارک,48,وام های موجود پرداخت شده,خودرو (کارکرده),4788,A61,۴-۷ سال,4,مرد مجرد,A101,3,A122,26,A143,A152,1,کارگر ماهر,2,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,48,تاخیر پرداخت شده,سایر,7582,A62,بیکار,2,مرد مجرد,A101,4,A124,31,A143,A153,1,مدیر/خویش فرما,1,A192,A201,1,35-26,10000-5000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1092,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A103,4,A121,49,A143,A152,2,کارگر ماهر,1,A192,A201,1,55-46,2000-1000
کمتر از ۰ مارک,24,تاخیر پرداخت شده,رادیو/تلویزیون,1024,A61,کمتر از ۱ سال,4,مرد متاهل/بیوه,A101,4,A121,48,A142,A152,1,کارگر ماهر,1,A191,A201,0,55-46,2000-1000
بدون حساب جاری,12,وام های موجود پرداخت شده,کسب و کار,1076,A61,۱-۴ سال,2,مرد متاهل/بیوه,A101,2,A121,26,A143,A152,1,کارگر ماهر,1,A192,A202,1,35-26,2000-1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,خودرو (کارکرده),9398,A61,کمتر از ۱ سال,1,مرد متاهل/بیوه,A101,4,A123,28,A143,A151,1,مدیر/خویش فرما,1,A192,A201,0,35-26,10000-5000
کمتر از ۰ مارک,24,وضعیت بحرانی/سایر,خودرو (کارکرده),6419,A61,بیشتر از ۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A124,44,A143,A153,2,مدیر/خویش فرما,2,A192,A201,1,45-36,10000-5000
بیشتر از ۲۰۰ مارک,42,وضعیت بحرانی/سایر,خودرو (کارکرده),4796,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,56,A143,A153,1,کارگر ماهر,1,A191,A201,1,65-56,5000-2000
بدون حساب جاری,48,وضعیت بحرانی/سایر,کسب و کار,7629,A65,بیشتر از ۷ سال,4,مرد مطلقه/جدا شده,A101,2,A123,46,A141,A152,2,مدیر/خویش فرما,2,A191,A201,1,55-46,10000-5000
۰-۲۰۰ مارک,48,وام های موجود پرداخت شده,لوازم خانگی,9960,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,2,A123,26,A143,A152,1,کارگر ماهر,1,A192,A201,0,35-26,10000-5000
بدون حساب جاری,12,وام های موجود پرداخت شده,خودرو (کارکرده),4675,A65,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A123,20,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,10,وام های موجود پرداخت شده,خودرو (نو),1287,A65,بیشتر از ۷ سال,4,مرد مجرد,A102,2,A122,45,A143,A152,1,کارگر ساده,1,A191,A202,1,45-36,2000-1000
بدون حساب جاری,18,وام های موجود پرداخت شده,لوازم خانگی,2515,A61,۱-۴ سال,3,مرد مجرد,A101,4,A121,43,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,21,وضعیت بحرانی/سایر,لوازم خانگی,2745,A64,۴-۷ سال,3,مرد مجرد,A101,2,A123,32,A143,A152,2,کارگر ماهر,1,A192,A201,1,35-26,5000-2000
بدون حساب جاری,6,وام های موجود پرداخت شده,خودرو (نو),672,A61,بیکار,1,زن مطلقه/جدا شده/متاهل,A101,4,A121,54,A143,A152,1,بیکار,1,A192,A201,1,55-46,کمتر از 1000
۰-۲۰۰ مارک,36,بدون وام/همه پرداخت شده,رادیو/تلویزیون,3804,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A123,42,A143,A152,1,کارگر ماهر,1,A192,A201,0,45-36,5000-2000
بیشتر از ۲۰۰ مارک,24,وضعیت بحرانی/سایر,خودرو (نو),1344,A65,۴-۷ سال,4,مرد مجرد,A101,2,A121,37,A141,A152,2,کارگر ساده,2,A191,A201,0,45-36,2000-1000
کمتر از ۰ مارک,10,وضعیت بحرانی/سایر,خودرو (نو),1038,A61,۴-۷ سال,4,مرد مجرد,A102,3,A122,49,A143,A152,2,کارگر ماهر,1,A192,A201,1,55-46,2000-1000
بدون حساب جاری,48,وضعیت بحرانی/سایر,خودرو (نو),10127,A63,۱-۴ سال,2,مرد مجرد,A101,2,A124,44,A141,A153,1,کارگر ماهر,1,A191,A201,0,45-36,بیشتر از 10000
بدون حساب جاری,6,وام های موجود پرداخت شده,لوازم خانگی,1543,A64,۱-۴ سال,4,مرد مطلقه/جدا شده,A101,2,A121,33,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,30,وام های موجود پرداخت شده,خودرو (کارکرده),4811,A65,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A122,24,A142,A151,1,کارگر ساده,1,A191,A201,1,25-18,5000-2000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,727,A62,کمتر از ۱ سال,4,مرد متاهل/بیوه,A101,3,A124,33,A143,A152,1,کارگر ساده,1,A192,A201,0,35-26,کمتر از 1000
۰-۲۰۰ مارک,8,وام های موجود پرداخت شده,لوازم خانگی,1237,A61,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A121,24,A143,A152,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,خودرو (نو),276,A61,۱-۴ سال,4,مرد متاهل/بیوه,A101,4,A121,22,A143,A151,1,کارگر ساده,1,A191,A201,1,25-18,کمتر از 1000
۰-۲۰۰ مارک,48,وام های موجود پرداخت شده,سایر,5381,A65,بیکار,3,مرد مجرد,A101,4,A124,40,A141,A153,1,بیکار,1,A192,A201,1,45-36,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,لوازم خانگی,5511,A62,۱-۴ سال,4,مرد مجرد,A101,1,A123,25,A142,A152,1,کارگر ماهر,1,A191,A201,1,25-18,10000-5000
بیشتر از ۲۰۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,3749,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A123,26,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),685,A61,۴-۷ سال,2,مرد متاهل/بیوه,A101,3,A123,25,A141,A152,1,کارگر ساده,1,A191,A201,0,25-18,کمتر از 1000
بیشتر از ۲۰۰ مارک,4,وام های موجود پرداخت شده,خودرو (نو),1494,A65,کمتر از ۱ سال,1,مرد مجرد,A101,2,A121,29,A143,A152,1,کارگر ساده,2,A191,A202,1,35-26,2000-1000
کمتر از ۰ مارک,36,همه پرداخت شده,لوازم خانگی,2746,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A123,31,A141,A152,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,708,A61,۱-۴ سال,2,مرد مجرد,A103,3,A122,38,A143,A152,1,کارگر ساده,2,A191,A201,1,45-36,کمتر از 1000
۰-۲۰۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,4351,A65,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A122,48,A143,A152,1,کارگر ساده,1,A192,A201,1,55-46,5000-2000
بدون حساب جاری,12,وضعیت بحرانی/سایر,آموزش,701,A61,۱-۴ سال,4,مرد مجرد,A101,2,A123,32,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,کمتر از 1000
کمتر از ۰ مارک,15,تاخیر پرداخت شده,لوازم خانگی,3643,A61,بیشتر از ۷ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A122,27,A143,A152,2,کارگر ساده,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,30,وضعیت بحرانی/سایر,خودرو (نو),4249,A61,بیکار,4,مرد متاهل/بیوه,A101,2,A123,28,A143,A152,2,مدیر/خویش فرما,1,A191,A201,0,35-26,5000-2000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1938,A61,کمتر از ۱ سال,4,مرد مطلقه/جدا شده,A101,3,A122,32,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,خودرو (کارکرده),2910,A61,۴-۷ سال,2,مرد مجرد,A101,1,A124,34,A143,A153,1,مدیر/خویش فرما,1,A192,A201,1,35-26,5000-2000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,2659,A64,۱-۴ سال,4,مرد مجرد,A101,2,A123,28,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
بدون حساب جاری,18,وضعیت بحرانی/سایر,خودرو (نو),1028,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A121,36,A143,A152,2,کارگر ماهر,1,A191,A201,1,45-36,2000-1000
کمتر از ۰ مارک,8,وضعیت بحرانی/سایر,خودرو (نو),3398,A61,۴-۷ سال,1,مرد مجرد,A101,4,A121,39,A143,A152,2,کارگر ساده,1,A191,A202,1,45-36,5000-2000
بدون حساب جاری,12,وضعیت بحرانی/سایر,لوازم خانگی,5801,A65,بیشتر از ۷ سال,2,مرد مجرد,A101,4,A122,49,A143,A151,1,کارگر ماهر,1,A192,A201,1,55-46,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,خودرو (نو),1525,A64,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A123,34,A143,A152,1,کارگر ماهر,2,A192,A201,1,35-26,2000-1000
بیشتر از ۲۰۰ مارک,36,وام های موجود پرداخت شده,رادیو/تلویزیون,4473,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A123,31,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,6,وام های موجود پرداخت شده,رادیو/تلویزیون,1068,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A123,28,A143,A152,1,کارگر ماهر,2,A191,A201,1,35-26,2000-1000
کمتر از ۰ مارک,24,وضعیت بحرانی/سایر,خودرو (کارکرده),6615,A61,بیکار,2,مرد مجرد,A101,4,A124,75,A143,A153,2,مدیر/خویش فرما,1,A192,A201,1,75+,10000-5000
بدون حساب جاری,18,وضعیت بحرانی/سایر,آموزش,1864,A62,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A121,30,A143,A152,2,کارگر ماهر,1,A191,A201,0,35-26,2000-1000
۰-۲۰۰ مارک,60,وام های موجود پرداخت شده,خودرو (نو),7408,A62,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A122,24,A143,A152,1,مدیر/خویش فرما,1,A191,A201,0,25-18,10000-5000
بدون حساب جاری,48,وضعیت بحرانی/سایر,خودرو (کارکرده),11590,A62,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A123,24,A141,A151,2,کارگر ساده,1,A191,A201,0,25-18,بیشتر از 10000
کمتر از ۰ مارک,24,بدون وام/همه پرداخت شده,لوازم خانگی,4110,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A124,23,A141,A151,2,کارگر ماهر,2,A191,A201,0,25-18,5000-2000
کمتر از ۰ مارک,6,وضعیت بحرانی/سایر,لوازم خانگی,3384,A61,۱-۴ سال,1,مرد مطلقه/جدا شده,A101,4,A121,44,A143,A151,1,مدیر/خویش فرما,1,A192,A201,0,45-36,5000-2000
۰-۲۰۰ مارک,13,وام های موجود پرداخت شده,رادیو/تلویزیون,2101,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A103,4,A122,23,A143,A152,1,کارگر ساده,1,A191,A201,1,25-18,5000-2000
کمتر از ۰ مارک,15,وام های موجود پرداخت شده,وسایل خانه,1275,A65,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,24,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,4169,A61,۱-۴ سال,4,مرد مجرد,A101,4,A122,28,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,10,وام های موجود پرداخت شده,لوازم خانگی,1521,A61,۱-۴ سال,4,مرد مطلقه/جدا شده,A101,2,A123,31,A143,A152,1,کارگر ساده,1,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,24,وضعیت بحرانی/سایر,آموزش,5743,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A124,24,A143,A153,2,کارگر ماهر,1,A192,A201,1,25-18,10000-5000
کمتر از ۰ مارک,21,وام های موجود پرداخت شده,لوازم خانگی,3599,A61,۴-۷ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A123,26,A143,A151,1,کارگر ساده,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,رادیو/تلویزیون,3213,A63,کمتر از ۱ سال,1,مرد متاهل/بیوه,A101,3,A121,25,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,کسب و کار,4439,A61,بیشتر از ۷ سال,1,مرد مجرد,A102,1,A121,33,A141,A152,1,مدیر/خویش فرما,1,A192,A201,1,35-26,5000-2000
بیشتر از ۲۰۰ مارک,10,وام های موجود پرداخت شده,خودرو (نو),3949,A61,کمتر از ۱ سال,1,مرد مجرد,A103,1,A122,37,A143,A152,1,کارگر ساده,2,A191,A201,1,45-36,5000-2000
بدون حساب جاری,15,وضعیت بحرانی/سایر,رادیو/تلویزیون,1459,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,43,A143,A152,1,کارگر ساده,1,A191,A201,1,45-36,2000-1000
۰-۲۰۰ مارک,13,وضعیت بحرانی/سایر,رادیو/تلویزیون,882,A61,کمتر از ۱ سال,4,مرد مجرد,A103,4,A121,23,A143,A152,2,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
۰-۲۰۰ مارک,24,وام های موجود پرداخت شده,رادیو/تلویزیون,3758,A63,بیکار,1,زن مطلقه/جدا شده/متاهل,A101,4,A124,23,A143,A151,1,بیکار,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,6,تاخیر پرداخت شده,کسب و کار,1743,A62,۱-۴ سال,1,مرد مجرد,A101,2,A121,34,A143,A152,2,کارگر ساده,1,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,9,وضعیت بحرانی/سایر,آموزش,1136,A64,بیشتر از ۷ سال,4,مرد مجرد,A101,3,A124,32,A143,A153,2,کارگر ماهر,2,A191,A201,0,35-26,2000-1000
بدون حساب جاری,9,وام های موجود پرداخت شده,وسایل خانه,1236,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A121,23,A143,A151,1,کارگر ماهر,1,A192,A201,1,25-18,2000-1000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,لوازم خانگی,959,A61,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,2,A123,29,A143,A152,1,کارگر ماهر,1,A191,A202,0,35-26,کمتر از 1000
بدون حساب جاری,18,وضعیت بحرانی/سایر,خودرو (کارکرده),3229,A65,بیکار,2,مرد مجرد,A101,4,A124,38,A143,A152,1,مدیر/خویش فرما,1,A192,A201,1,45-36,5000-2000
کمتر از ۰ مارک,12,بدون وام/همه پرداخت شده,رادیو/تلویزیون,6199,A61,۱-۴ سال,4,مرد مجرد,A101,2,A122,28,A143,A151,2,کارگر ماهر,1,A192,A201,0,35-26,10000-5000
بدون حساب جاری,10,وام های موجود پرداخت شده,آموزش,727,A63,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,46,A143,A153,1,کارگر ماهر,1,A192,A201,1,55-46,کمتر از 1000
۰-۲۰۰ مارک,24,وام های موجود پرداخت شده,خودرو (نو),1246,A61,کمتر از ۱ سال,4,مرد مجرد,A101,2,A121,23,A142,A152,1,کارگر ساده,1,A191,A201,0,25-18,2000-1000
بدون حساب جاری,12,وضعیت بحرانی/سایر,رادیو/تلویزیون,2331,A65,بیشتر از ۷ سال,1,مرد مجرد,A102,4,A121,49,A143,A152,1,کارگر ماهر,1,A192,A201,1,55-46,5000-2000
بدون حساب جاری,36,تاخیر پرداخت شده,رادیو/تلویزیون,4463,A61,۱-۴ سال,4,مرد مجرد,A101,2,A123,26,A143,A152,2,مدیر/خویش فرما,1,A192,A201,0,35-26,5000-2000
بدون حساب جاری,12,وام های موجود پرداخت شده,رادیو/تلویزیون,776,A61,۱-۴ سال,4,مرد متاهل/بیوه,A101,2,A121,28,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,کمتر از 1000
کمتر از ۰ مارک,30,وام های موجود پرداخت شده,لوازم خانگی,2406,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,23,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,آموزش,1239,A65,۱-۴ سال,4,مرد مجرد,A101,4,A124,61,A143,A153,1,کارگر ماهر,1,A191,A201,1,65-56,2000-1000
بیشتر از ۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,3399,A65,بیشتر از ۷ سال,2,مرد مجرد,A101,3,A123,37,A143,A152,1,مدیر/خویش فرما,1,A191,A201,1,45-36,5000-2000
بیشتر از ۲۰۰ مارک,12,تاخیر پرداخت شده,خودرو (نو),2247,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A123,36,A142,A152,2,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
بدون حساب جاری,6,وام های موجود پرداخت شده,لوازم خانگی,1766,A61,۱-۴ سال,1,مرد متاهل/بیوه,A101,2,A122,21,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,2000-1000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,2473,A61,بیکار,4,مرد مجرد,A101,1,A123,25,A143,A152,1,بیکار,1,A191,A201,0,25-18,5000-2000
بدون حساب جاری,12,وام های موجود پرداخت شده,کسب و کار,1542,A61,۴-۷ سال,2,مرد مجرد,A101,4,A123,36,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
بدون حساب جاری,18,وضعیت بحرانی/سایر,خودرو (کارکرده),3850,A61,۴-۷ سال,3,مرد مجرد,A101,1,A123,27,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,3650,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A123,22,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
کمتر از ۰ مارک,36,وام های موجود پرداخت شده,لوازم خانگی,3446,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A123,42,A143,A152,1,کارگر ماهر,2,A191,A201,0,45-36,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,3001,A61,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A121,40,A143,A151,1,کارگر ماهر,1,A191,A201,1,45-36,5000-2000
بدون حساب جاری,36,وام های موجود پرداخت شده,خودرو (نو),3079,A65,۱-۴ سال,4,مرد مجرد,A101,4,A121,36,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,5000-2000
بدون حساب جاری,18,وضعیت بحرانی/سایر,رادیو/تلویزیون,6070,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A123,33,A143,A152,2,کارگر ماهر,1,A192,A201,1,35-26,10000-5000
بدون حساب جاری,10,وضعیت بحرانی/سایر,لوازم خانگی,2146,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,3,A121,23,A143,A151,2,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بدون حساب جاری,60,وضعیت بحرانی/سایر,خودرو (نو),13756,A65,بیشتر از ۷ سال,2,مرد مجرد,A101,4,A124,63,A141,A153,1,مدیر/خویش فرما,1,A192,A201,1,65-56,بیشتر از 10000
۰-۲۰۰ مارک,60,همه پرداخت شده,سایر,14782,A62,بیشتر از ۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A124,60,A141,A153,2,مدیر/خویش فرما,1,A192,A201,0,65-56,بیشتر از 10000
کمتر از ۰ مارک,48,همه پرداخت شده,کسب و کار,7685,A61,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A103,4,A123,37,A143,A151,1,کارگر ماهر,1,A191,A201,0,45-36,10000-5000
بدون حساب جاری,18,تاخیر پرداخت شده,رادیو/تلویزیون,2320,A61,بیکار,2,مرد متاهل/بیوه,A101,3,A121,34,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
