status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
0-200 DM,18,delay paid,furniture/equipment,4297,A61,>=7 years,4,A91,A101,3,A124,40,A143,A152,1,A174,1,A192,A201,0,36-45
no account,9,critical/other,education,936,A63,>=7 years,4,A93,A101,2,A123,52,A143,A152,2,A173,1,A192,A201,1,46-55
<0 DM,12,existing paid,car (new),1168,A61,1-4 years,4,A94,A101,3,A121,27,A143,A152,1,A172,1,A191,A201,1,26-35
no account,27,delay paid,business,5117,A61,4-7 years,3,A93,A101,4,A123,26,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,12,existing paid,retraining,902,A61,4-7 years,4,A94,A101,4,A122,21,A143,A151,1,A173,1,A191,A201,0,18-25
no account,12,critical/other,car (new),1495,A61,>=7 years,4,A93,A101,1,A121,38,A143,A152,2,A172,2,A191,A201,1,36-45
<0 DM,30,critical/other,car (used),10623,A61,>=7 years,3,A93,A101,4,A124,38,A143,A153,3,A174,2,A192,A201,1,36-45
no account,12,critical/other,furniture/equipment,1935,A61,>=7 years,4,A93,A101,4,A121,43,A143,A152,3,A173,1,A192,A201,1,36-45
0-200 DM,12,critical/other,domestic appliances,1424,A61,4-7 years,4,A93,A101,3,A122,26,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,24,existing paid,business,6568,A61,1-4 years,2,A94,A101,2,A123,21,A142,A152,1,A172,1,A191,A201,1,18-25
no account,12,existing paid,car (used),1413,A64,4-7 years,3,A93,A101,2,A122,55,A143,A152,1,A173,1,A191,A202,1,46-55
no account,9,critical/other,radio/TV,3074,A65,1-4 years,1,A93,A101,2,A121,33,A143,A152,2,A173,2,A191,A201,1,26-35
no account,36,existing paid,radio/TV,3835,A65,>=7 years,2,A92,A101,4,A121,45,A143,A152,1,A172,1,A192,A201,1,36-45
<0 DM,27,no credits/all paid,business,5293,A61,unemployed,2,A93,A101,4,A122,50,A142,A152,2,A173,1,A192,A201,0,46-55
>=200 DM,30,delay paid,business,1908,A61,>=7 years,4,A93,A101,4,A121,66,A143,A152,1,A174,1,A192,A201,0,66+
no account,36,critical/other,radio/TV,3342,A65,>=7 years,4,A93,A101,2,A123,51,A143,A152,1,A173,1,A192,A201,1,46-55
0-200 DM,6,critical/other,retraining,932,A65,4-7 years,1,A92,A101,3,A122,39,A143,A152,2,A172,1,A191,A201,1,36-45
<0 DM,18,no credits/all paid,business,3104,A61,4-7 years,3,A93,A101,1,A122,31,A141,A152,1,A173,1,A192,A201,1,26-35
>=200 DM,36,existing paid,radio/TV,3913,A61,1-4 years,2,A93,A101,2,A121,23,A143,A152,1,A173,1,A192,A201,1,18-25
<0 DM,24,existing paid,furniture/equipment,3021,A61,1-4 years,2,A91,A101,2,A121,24,A143,A151,1,A172,1,A191,A201,1,18-25
no account,10,existing paid,car (new),1364,A61,1-4 years,2,A92,A101,4,A123,64,A143,A152,1,A173,1,A192,A201,1,56-65
0-200 DM,12,existing paid,radio/TV,625,A61,<1 year,4,A94,A103,1,A121,26,A141,A152,1,A172,1,A191,A201,1,26-35
<0 DM,12,existing paid,education,1200,A65,1-4 years,4,A92,A101,4,A122,23,A141,A151,1,A173,1,A192,A201,1,18-25
no account,12,existing paid,radio/TV,707,A61,1-4 years,4,A93,A101,2,A121,30,A141,A152,2,A173,1,A191,A201,1,26-35
no account,24,delay paid,business,2978,A65,1-4 years,4,A93,A101,4,A121,32,A143,A152,2,A173,2,A192,A201,1,26-35
no account,15,existing paid,car (used),4657,A61,1-4 years,3,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,26-35
no account,36,no credits/all paid,repairs,2613,A61,1-4 years,4,A93,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,48,existing paid,radio/TV,10961,A64,4-7 years,1,A93,A102,2,A124,27,A141,A152,2,A173,1,A192,A201,0,26-35
<0 DM,12,existing paid,furniture/equipment,7865,A61,>=7 years,4,A93,A101,4,A124,53,A143,A153,1,A174,1,A192,A201,0,46-55
no account,9,existing paid,radio/TV,1478,A61,4-7 years,4,A93,A101,2,A123,22,A143,A152,1,A173,1,A191,A201,0,18-25
<0 DM,24,existing paid,furniture/equipment,3149,A61,<1 year,4,A93,A101,1,A124,22,A141,A153,1,A173,1,A191,A201,1,18-25
>=200 DM,36,existing paid,radio/TV,4210,A61,1-4 years,4,A93,A101,2,A123,26,A143,A152,1,A173,1,A191,A201,0,26-35
no account,9,existing paid,car (new),2507,A63,>=7 years,2,A93,A101,4,A124,51,A143,A153,1,A172,1,A191,A201,1,46-55
no account,12,existing paid,radio/TV,2141,A62,4-7 years,3,A93,A101,1,A124,35,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,18,existing paid,radio/TV,866,A61,1-4 years,4,A94,A103,2,A121,25,A143,A152,1,A172,1,A191,A201,1,18-25
no account,4,critical/other,radio/TV,1544,A61,4-7 years,2,A93,A101,1,A121,42,A143,A152,3,A172,2,A191,A201,1,36-45
<0 DM,24,existing paid,radio/TV,1823,A61,unemployed,4,A93,A101,2,A123,30,A142,A152,1,A174,2,A191,A201,0,26-35
0-200 DM,6,existing paid,car (new),14555,A65,unemployed,1,A93,A101,2,A122,23,A143,A152,1,A171,1,A192,A201,0,18-25
0-200 DM,21,existing paid,business,2767,A62,>=7 years,4,A91,A101,2,A123,61,A141,A151,2,A172,1,A191,A201,0,56-65
no account,12,critical/other,radio/TV,1291,A61,1-4 years,4,A92,A101,2,A122,35,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,30,existing paid,radio/TV,2522,A61,>=7 years,1,A93,A103,3,A122,39,A143,A152,1,A173,2,A191,A201,1,36-45
<0 DM,24,existing paid,car (new),915,A65,>=7 years,4,A92,A101,2,A123,29,A141,A152,1,A173,1,A191,A201,0,26-35
no account,6,existing paid,radio/TV,1595,A61,4-7 years,3,A93,A101,2,A122,51,A143,A152,1,A173,2,A191,A201,1,46-55
<0 DM,48,no credits/all paid,car (used),4605,A61,>=7 years,3,A93,A101,4,A124,24,A143,A153,2,A173,2,A191,A201,0,18-25
no account,12,critical/other,business,1185,A61,1-4 years,3,A92,A101,2,A121,27,A143,A152,2,A173,1,A191,A201,1,26-35
no account,12,all paid,retraining,3447,A63,1-4 years,4,A92,A101,3,A121,35,A143,A152,1,A172,2,A191,A201,1,26-35
no account,24,existing paid,business,1258,A61,4-7 years,4,A93,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,1,18-25
no account,12,critical/other,radio/TV,717,A61,>=7 years,4,A93,A101,4,A121,52,A143,A152,3,A173,1,A191,A201,1,46-55
no account,6,no credits/all paid,car (new),1204,A62,1-4 years,4,A93,A101,1,A124,35,A141,A151,1,A173,1,A191,A202,1,26-35
>=200 DM,24,existing paid,furniture/equipment,1925,A61,1-4 years,2,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,1,26-35
no account,18,existing paid,radio/TV,433,A61,unemployed,3,A92,A102,4,A121,22,A143,A151,1,A173,1,A191,A201,0,18-25
<0 DM,6,critical/other,car (new),666,A64,4-7 years,3,A92,A101,4,A121,39,A143,A152,2,A172,1,A192,A201,1,36-45
>=200 DM,12,existing paid,furniture/equipment,2251,A61,1-4 years,1,A92,A101,2,A123,46,A143,A152,1,A172,1,A191,A201,1,46-55
0-200 DM,30,existing paid,car (new),2150,A61,1-4 years,4,A92,A103,2,A124,24,A141,A152,1,A173,1,A191,A201,0,18-25
no account,24,delay paid,furniture/equipment,4151,A62,1-4 years,2,A93,A101,3,A122,35,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,9,existing paid,furniture/equipment,2030,A65,4-7 years,2,A93,A101,1,A123,24,A143,A152,1,A173,1,A192,A201,1,18-25
0-200 DM,60,delay paid,radio/TV,7418,A65,1-4 years,1,A93,A101,1,A121,27,A143,A152,1,A172,1,A191,A201,1,26-35
no account,24,critical/other,radio/TV,2684,A61,1-4 years,4,A93,A101,2,A121,35,A143,A152,2,A172,1,A191,A201,1,26-35
<0 DM,12,all paid,radio/TV,2149,A61,1-4 years,4,A91,A101,1,A124,29,A143,A153,1,A173,1,A191,A201,0,26-35
no account,15,existing paid,car (used),3812,A62,<1 year,1,A92,A101,4,A123,23,A143,A152,1,A173,1,A192,A201,1,18-25
no account,11,critical/other,radio/TV,1154,A62,unemployed,4,A92,A101,4,A121,57,A143,A152,3,A172,1,A191,A201,1,56-65
<0 DM,12,existing paid,furniture/equipment,1657,A61,1-4 years,2,A93,A101,2,A121,27,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,24,existing paid,radio/TV,1603,A61,>=7 years,4,A92,A101,4,A123,55,A143,A152,1,A173,1,A191,A201,1,46-55
<0 DM,18,critical/other,car (new),5302,A61,>=7 years,2,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1,36-45
no account,12,critical/other,education,2748,A61,>=7 years,2,A92,A101,4,A124,57,A141,A153,3,A172,1,A191,A201,1,56-65
no account,10,critical/other,car (new),1231,A61,>=7 years,3,A93,A101,4,A121,32,A143,A152,2,A172,2,A191,A202,1,26-35
0-200 DM,15,existing paid,radio/TV,802,A61,>=7 years,4,A93,A101,3,A123,37,A143,A152,1,A173,2,A191,A201,0,36-45
no account,36,critical/other,business,6304,A65,>=7 years,4,A93,A101,4,A121,36,A143,A152,2,A173,1,A191,A201,1,36-45
no account,24,existing paid,radio/TV,1533,A61,<1 year,4,A92,A101,3,A123,38,A142,A152,1,A173,1,A192,A201,1,36-45
<0 DM,14,existing paid,car (new),8978,A61,>=7 years,1,A91,A101,4,A122,45,A143,A152,1,A174,1,A192,A202,0,36-45
no account,24,existing paid,radio/TV,999,A65,>=7 years,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,18-25
no account,18,existing paid,car (new),2662,A65,4-7 years,4,A93,A101,3,A122,32,A143,A152,1,A173,1,A191,A202,1,26-35
no account,12,critical/other,furniture/equipment,1402,A63,4-7 years,3,A92,A101,4,A123,37,A143,A151,1,A173,1,A192,A201,1,36-45
0-200 DM,48,all paid,car (new),12169,A65,unemployed,4,A93,A102,4,A124,36,A143,A153,1,A174,1,A192,A201,1,36-45
0-200 DM,48,existing paid,radio/TV,3060,A61,4-7 years,4,A93,A101,4,A121,28,A143,A152,2,A173,1,A191,A201,0,26-35
<0 DM,30,existing paid,repairs,11998,A61,<1 year,1,A91,A101,1,A124,34,A143,A152,1,A172,1,A192,A201,0,26-35
no account,9,existing paid,radio/TV,2697,A61,1-4 years,1,A93,A101,2,A121,32,A143,A152,1,A173,2,A191,A201,1,26-35
no account,18,critical/other,radio/TV,2404,A61,1-4 years,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,12,existing paid,furniture/equipment,1262,A65,>=7 years,2,A91,A101,4,A122,49,A143,A152,1,A172,1,A192,A201,1,46-55
no account,6,existing paid,furniture/equipment,4611,A61,<1 year,1,A92,A101,4,A122,32,A143,A152,1,A173,1,A191,A201,0,26-35
no account,24,existing paid,radio/TV,1901,A62,1-4 years,4,A93,A101,4,A123,29,A143,A151,1,A174,1,A192,A201,1,26-35
no account,15,critical/other,car (used),3368,A64,>=7 years,3,A93,A101,4,A124,23,A143,A151,2,A173,1,A192,A201,1,18-25
no account,12,existing paid,furniture/equipment,1574,A61,1-4 years,4,A93,A101,2,A121,50,A143,A152,1,A173,1,A191,A201,1,46-55
>=200 DM,18,all paid,radio/TV,1445,A65,4-7 years,4,A93,A101,4,A123,49,A141,A152,1,A172,1,A191,A201,1,46-55
no account,15,critical/other,furniture/equipment,1520,A65,>=7 years,4,A93,A101,4,A122,63,A143,A152,1,A173,1,A191,A201,1,56-65
0-200 DM,24,critical/other,car (new),3878,A62,<1 year,4,A91,A101,2,A123,37,A143,A152,1,A173,1,A192,A201,1,36-45
<0 DM,47,existing paid,car (new),10722,A61,<1 year,1,A92,A101,1,A121,35,A143,A152,1,A172,1,A192,A201,1,26-35
<0 DM,48,existing paid,car (used),4788,A61,4-7 years,4,A93,A101,3,A122,26,A143,A152,1,A173,2,A191,A201,1,26-35
0-200 DM,48,delay paid,others,7582,A62,unemployed,2,A93,A101,4,A124,31,A143,A153,1,A174,1,A192,A201,1,26-35
0-200 DM,12,existing paid,radio/TV,1092,A61,1-4 years,4,A92,A103,4,A121,49,A143,A152,2,A173,1,A192,A201,1,46-55
<0 DM,24,delay paid,radio/TV,1024,A61,<1 year,4,A94,A101,4,A121,48,A142,A152,1,A173,1,A191,A201,0,46-55
no account,12,existing paid,business,1076,A61,1-4 years,2,A94,A101,2,A121,26,A143,A152,1,A173,1,A192,A202,1,26-35
0-200 DM,36,existing paid,car (used),9398,A61,<1 year,1,A94,A101,4,A123,28,A143,A151,1,A174,1,A192,A201,0,26-35
<0 DM,24,critical/other,car (used),6419,A61,>=7 years,2,A92,A101,4,A124,44,A143,A153,2,A174,2,A192,A201,1,36-45
>=200 DM,42,critical/other,car (used),4796,A61,>=7 years,4,A93,A101,4,A124,56,A143,A153,1,A173,1,A191,A201,1,56-65
no account,48,critical/other,business,7629,A65,>=7 years,4,A91,A101,2,A123,46,A141,A152,2,A174,2,A191,A201,1,46-55
0-200 DM,48,existing paid,furniture/equipment,9960,A61,<1 year,1,A92,A101,2,A123,26,A143,A152,1,A173,1,A192,A201,0,26-35
no account,12,existing paid,car (used),4675,A65,<1 year,1,A92,A101,4,A123,20,A143,A151,1,A173,1,A191,A201,1,18-25
no account,10,existing paid,car (new),1287,A65,>=7 years,4,A93,A102,2,A122,45,A143,A152,1,A172,1,A191,A202,1,36-45
no account,18,existing paid,furniture/equipment,2515,A61,1-4 years,3,A93,A101,4,A121,43,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,21,critical/other,furniture/equipment,2745,A64,4-7 years,3,A93,A101,2,A123,32,A143,A152,2,A173,1,A192,A201,1,26-35
no account,6,existing paid,car (new),672,A61,unemployed,1,A92,A101,4,A121,54,A143,A152,1,A171,1,A192,A201,1,46-55
0-200 DM,36,no credits/all paid,radio/TV,3804,A61,1-4 years,4,A92,A101,1,A123,42,A143,A152,1,A173,1,A192,A201,0,36-45
>=200 DM,24,critical/other,car (new),1344,A65,4-7 years,4,A93,A101,2,A121,37,A141,A152,2,A172,2,A191,A201,0,36-45
<0 DM,10,critical/other,car (new),1038,A61,4-7 years,4,A93,A102,3,A122,49,A143,A152,2,A173,1,A192,A201,1,46-55
no account,48,critical/other,car (new),10127,A63,1-4 years,2,A93,A101,2,A124,44,A141,A153,1,A173,1,A191,A201,0,36-45
no account,6,existing paid,furniture/equipment,1543,A64,1-4 years,4,A91,A101,2,A121,33,A143,A152,1,A173,1,A191,A201,1,26-35
no account,30,existing paid,car (used),4811,A65,4-7 years,2,A92,A101,4,A122,24,A142,A151,1,A172,1,A191,A201,1,18-25
<0 DM,12,existing paid,radio/TV,727,A62,<1 year,4,A94,A101,3,A124,33,A143,A152,1,A172,1,A192,A201,0,26-35
0-200 DM,8,existing paid,furniture/equipment,1237,A61,1-4 years,3,A92,A101,4,A121,24,A143,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,9,existing paid,car (new),276,A61,1-4 years,4,A94,A101,4,A121,22,A143,A151,1,A172,1,A191,A201,1,18-25
0-200 DM,48,existing paid,others,5381,A65,unemployed,3,A93,A101,4,A124,40,A141,A153,1,A171,1,A192,A201,1,36-45
no account,24,existing paid,furniture/equipment,5511,A62,1-4 years,4,A93,A101,1,A123,25,A142,A152,1,A173,1,A191,A201,1,18-25
>=200 DM,24,existing paid,furniture/equipment,3749,A61,<1 year,2,A92,A101,4,A123,26,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,12,existing paid,car (new),685,A61,4-7 years,2,A94,A101,3,A123,25,A141,A152,1,A172,1,A191,A201,0,18-25
>=200 DM,4,existing paid,car (new),1494,A65,<1 year,1,A93,A101,2,A121,29,A143,A152,1,A172,2,A191,A202,1,26-35
<0 DM,36,all paid,furniture/equipment,2746,A61,>=7 years,4,A93,A101,4,A123,31,A141,A152,1,A173,1,A191,A201,0,26-35
<0 DM,12,existing paid,furniture/equipment,708,A61,1-4 years,2,A93,A103,3,A122,38,A143,A152,1,A172,2,A191,A201,1,36-45
0-200 DM,24,existing paid,furniture/equipment,4351,A65,1-4 years,1,A92,A101,4,A122,48,A143,A152,1,A172,1,A192,A201,1,46-55
no account,12,critical/other,education,701,A61,1-4 years,4,A93,A101,2,A123,32,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,15,delay paid,furniture/equipment,3643,A61,>=7 years,1,A92,A101,4,A122,27,A143,A152,2,A172,1,A191,A201,1,26-35
0-200 DM,30,critical/other,car (new),4249,A61,unemployed,4,A94,A101,2,A123,28,A143,A152,2,A174,1,A191,A201,0,26-35
<0 DM,24,existing paid,radio/TV,1938,A61,<1 year,4,A91,A101,3,A122,32,A143,A152,1,A173,1,A191,A201,0,26-35
<0 DM,24,existing paid,car (used),2910,A61,4-7 years,2,A93,A101,1,A124,34,A143,A153,1,A174,1,A192,A201,1,26-35
<0 DM,18,existing paid,furniture/equipment,2659,A64,1-4 years,4,A93,A101,2,A123,28,A143,A152,1,A173,1,A191,A201,1,26-35
no account,18,critical/other,car (new),1028,A61,1-4 years,4,A92,A101,3,A121,36,A143,A152,2,A173,1,A191,A201,1,36-45
<0 DM,8,critical/other,car (new),3398,A61,4-7 years,1,A93,A101,4,A121,39,A143,A152,2,A172,1,A191,A202,1,36-45
no account,12,critical/other,furniture/equipment,5801,A65,>=7 years,2,A93,A101,4,A122,49,A143,A151,1,A173,1,A192,A201,1,46-55
no account,24,existing paid,car (new),1525,A64,4-7 years,4,A92,A101,3,A123,34,A143,A152,1,A173,2,A192,A201,1,26-35
>=200 DM,36,existing paid,radio/TV,4473,A61,>=7 years,4,A93,A101,2,A123,31,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,6,existing paid,radio/TV,1068,A61,>=7 years,4,A93,A101,4,A123,28,A143,A152,1,A173,2,A191,A201,1,26-35
<0 DM,24,critical/other,car (used),6615,A61,unemployed,2,A93,A101,4,A124,75,A143,A153,2,A174,1,A192,A201,1,66+
no account,18,critical/other,education,1864,A62,1-4 years,4,A92,A101,2,A121,30,A143,A152,2,A173,1,A191,A201,0,26-35
0-200 DM,60,existing paid,car (new),7408,A62,<1 year,4,A92,A101,2,A122,24,A143,A152,1,A174,1,A191,A201,0,18-25
no account,48,critical/other,car (used),11590,A62,1-4 years,2,A92,A101,4,A123,24,A141,A151,2,A172,1,A191,A201,0,18-25
<0 DM,24,no credits/all paid,furniture/equipment,4110,A61,>=7 years,3,A93,A101,4,A124,23,A141,A151,2,A173,2,A191,A201,0,18-25
<0 DM,6,critical/other,furniture/equipment,3384,A61,1-4 years,1,A91,A101,4,A121,44,A143,A151,1,A174,1,A192,A201,0,36-45
0-200 DM,13,existing paid,radio/TV,2101,A61,<1 year,2,A92,A103,4,A122,23,A143,A152,1,A172,1,A191,A201,1,18-25
<0 DM,15,existing paid,domestic appliances,1275,A65,1-4 years,4,A92,A101,2,A123,24,A143,A151,1,A173,1,A191,A201,0,18-25
<0 DM,24,existing paid,furniture/equipment,4169,A61,1-4 years,4,A93,A101,4,A122,28,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,10,existing paid,furniture/equipment,1521,A61,1-4 years,4,A91,A101,2,A123,31,A143,A152,1,A172,1,A191,A201,1,26-35
0-200 DM,24,critical/other,education,5743,A61,<1 year,2,A92,A101,4,A124,24,A143,A153,2,A173,1,A192,A201,1,18-25
<0 DM,21,existing paid,furniture/equipment,3599,A61,4-7 years,1,A92,A101,4,A123,26,A143,A151,1,A172,1,A191,A201,1,26-35
0-200 DM,18,existing paid,radio/TV,3213,A63,<1 year,1,A94,A101,3,A121,25,A143,A151,1,A173,1,A191,A201,1,18-25
0-200 DM,18,existing paid,business,4439,A61,>=7 years,1,A93,A102,1,A121,33,A141,A152,1,A174,1,A192,A201,1,26-35
>=200 DM,10,existing paid,car (new),3949,A61,<1 year,1,A93,A103,1,A122,37,A143,A152,1,A172,2,A191,A201,1,36-45
no account,15,critical/other,radio/TV,1459,A61,1-4 years,4,A92,A101,2,A123,43,A143,A152,1,A172,1,A191,A201,1,36-45
0-200 DM,13,critical/other,radio/TV,882,A61,<1 year,4,A93,A103,4,A121,23,A143,A152,2,A173,1,A191,A201,1,18-25
0-200 DM,24,existing paid,radio/TV,3758,A63,unemployed,1,A92,A101,4,A124,23,A143,A151,1,A171,1,A191,A201,1,18-25
no account,6,delay paid,business,1743,A62,1-4 years,1,A93,A101,2,A121,34,A143,A152,2,A172,1,A191,A201,1,26-35
0-200 DM,9,critical/other,education,1136,A64,>=7 years,4,A93,A101,3,A124,32,A143,A153,2,A173,2,A191,A201,0,26-35
no account,9,existing paid,domestic appliances,1236,A61,<1 year,1,A92,A101,4,A121,23,A143,A151,1,A173,1,A192,A201,1,18-25
0-200 DM,9,existing paid,furniture/equipment,959,A61,1-4 years,1,A92,A101,2,A123,29,A143,A152,1,A173,1,A191,A202,0,26-35
no account,18,critical/other,car (used),3229,A65,unemployed,2,A93,A101,4,A124,38,A143,A152,1,A174,1,A192,A201,1,36-45
<0 DM,12,no credits/all paid,radio/TV,6199,A61,1-4 years,4,A93,A101,2,A122,28,A143,A151,2,A173,1,A192,A201,0,26-35
no account,10,existing paid,education,727,A63,>=7 years,4,A93,A101,4,A124,46,A143,A153,1,A173,1,A192,A201,1,46-55
0-200 DM,24,existing paid,car (new),1246,A61,<1 year,4,A93,A101,2,A121,23,A142,A152,1,A172,1,A191,A201,0,18-25
no account,12,critical/other,radio/TV,2331,A65,>=7 years,1,A93,A102,4,A121,49,A143,A152,1,A173,1,A192,A201,1,46-55
no account,36,delay paid,radio/TV,4463,A61,1-4 years,4,A93,A101,2,A123,26,A143,A152,2,A174,1,A192,A201,0,26-35
no account,12,existing paid,radio/TV,776,A61,1-4 years,4,A94,A101,2,A121,28,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,30,existing paid,furniture/equipment,2406,A61,4-7 years,4,A92,A101,4,A121,23,A143,A151,1,A173,1,A191,A201,0,18-25
0-200 DM,18,existing paid,education,1239,A65,1-4 years,4,A93,A101,4,A124,61,A143,A153,1,A173,1,A191,A201,1,56-65
>=200 DM,12,existing paid,radio/TV,3399,A65,>=7 years,2,A93,A101,3,A123,37,A143,A152,1,A174,1,A191,A201,1,36-45
>=200 DM,12,delay paid,car (new),2247,A61,1-4 years,2,A92,A101,2,A123,36,A142,A152,2,A173,1,A192,A201,1,36-45
no account,6,existing paid,furniture/equipment,1766,A61,1-4 years,1,A94,A101,2,A122,21,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,18,existing paid,furniture/equipment,2473,A61,unemployed,4,A93,A101,1,A123,25,A143,A152,1,A171,1,A191,A201,0,18-25
no account,12,existing paid,business,1542,A61,4-7 years,2,A93,A101,4,A123,36,A143,A152,1,A173,1,A192,A201,1,36-45
no account,18,critical/other,car (used),3850,A61,4-7 years,3,A93,A101,1,A123,27,A143,A152,2,A173,1,A191,A201,1,26-35
<0 DM,18,existing paid,furniture/equipment,3650,A61,<1 year,1,A92,A101,4,A123,22,A143,A151,1,A173,1,A191,A201,1,18-25
<0 DM,36,existing paid,furniture/equipment,3446,A61,>=7 years,4,A93,A101,2,A123,42,A143,A152,1,A173,2,A191,A201,0,36-45
0-200 DM,18,existing paid,furniture/equipment,3001,A61,4-7 years,2,A92,A101,4,A121,40,A143,A151,1,A173,1,A191,A201,1,36-45
no account,36,existing paid,car (new),3079,A65,1-4 years,4,A93,A101,4,A121,36,A143,A152,1,A173,1,A191,A201,1,36-45
no account,18,critical/other,radio/TV,6070,A61,>=7 years,3,A93,A101,4,A123,33,A143,A152,2,A173,1,A192,A201,1,26-35
no account,10,critical/other,furniture/equipment,2146,A61,<1 year,1,A92,A101,3,A121,23,A143,A151,2,A173,1,A191,A201,1,18-25
no account,60,critical/other,car (new),13756,A65,>=7 years,2,A93,A101,4,A124,63,A141,A153,1,A174,1,A192,A201,1,56-65
0-200 DM,60,all paid,others,14782,A62,>=7 years,3,A92,A101,4,A124,60,A141,A153,2,A174,1,A192,A201,0,56-65
<0 DM,48,all paid,business,7685,A61,4-7 years,2,A92,A103,4,A123,37,A143,A151,1,A173,1,A191,A201,0,36-45
no account,18,delay paid,radio/TV,2320,A61,unemployed,2,A94,A101,3,A121,34,A143,A152,2,A173,1,A191,A201,1,26-35
no account,7,delay paid,radio/TV,846,A65,>=7 years,3,A93,A101,4,A124,36,A143,A153,1,A173,1,A191,A201,1,36-45
0-200 DM,36,existing paid,car (new),14318,A61,>=7 years,4,A93,A101,2,A124,57,A143,A153,1,A174,1,A192,A201,0,56-65
no account,6,critical/other,car (new),362,A62,1-4 years,4,A92,A101,4,A123,52,A143,A152,2,A172,1,A191,A201,1,46-55
<0 DM,20,existing paid,furniture/equipment,2212,A65,4-7 years,4,A93,A101,4,A123,39,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,18,existing paid,car (used),12976,A61,unemployed,3,A92,A101,4,A124,38,A143,A153,1,A174,1,A192,A201,0,36-45
no account,22,existing paid,car (new),1283,A65,4-7 years,4,A92,A101,4,A122,25,A143,A151,1,A173,1,A191,A201,1,18-25
>=200 DM,12,existing paid,car (new),1330,A61,<1 year,4,A93,A101,1,A121,26,A143,A152,1,A173,1,A191,A201,1,26-35
no account,30,delay paid,business,4272,A62,1-4 years,2,A93,A101,2,A122,26,A143,A152,2,A172,1,A191,A201,1,26-35
no account,18,critical/other,radio/TV,2238,A61,1-4 years,2,A92,A101,1,A123,25,A143,A152,2,A173,1,A191,A201,1,18-25
no account,18,existing paid,radio/TV,1126,A65,<1 year,4,A92,A101,2,A121,21,A143,A151,1,A173,1,A192,A201,1,18-25
0-200 DM,18,critical/other,furniture/equipment,7374,A61,unemployed,4,A93,A101,4,A122,40,A142,A152,2,A174,1,A192,A201,1,36-45
0-200 DM,15,critical/other,business,2326,A63,1-4 years,2,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,1,26-35
no account,9,existing paid,business,1449,A61,4-7 years,3,A92,A101,2,A123,27,A143,A152,2,A173,1,A191,A201,1,26-35
no account,18,existing paid,car (new),1820,A61,1-4 years,2,A94,A101,2,A122,30,A143,A152,1,A174,1,A192,A201,1,26-35
0-200 DM,12,existing paid,furniture/equipment,983,A64,<1 year,1,A92,A101,4,A121,19,A143,A151,1,A172,1,A191,A201,1,18-25
<0 DM,36,existing paid,car (new),3249,A61,4-7 years,2,A93,A101,4,A124,39,A141,A153,1,A174,2,A192,A201,1,36-45
<0 DM,6,critical/other,radio/TV,1957,A61,4-7 years,1,A92,A101,4,A123,31,A143,A152,1,A173,1,A191,A201,1,26-35
no account,9,critical/other,furniture/equipment,2406,A61,unemployed,2,A93,A101,3,A123,31,A143,A152,1,A174,1,A191,A201,1,26-35
0-200 DM,39,delay paid,education,11760,A62,4-7 years,2,A93,A101,3,A124,32,A143,A151,1,A173,1,A192,A201,1,26-35
<0 DM,12,existing paid,furniture/equipment,2578,A61,unemployed,3,A92,A101,4,A124,55,A143,A153,1,A174,1,A191,A201,1,46-55
<0 DM,36,critical/other,furniture/equipment,2348,A61,1-4 years,3,A94,A101,2,A122,46,A143,A152,2,A173,1,A192,A201,1,46-55
0-200 DM,12,existing paid,car (new),1223,A61,>=7 years,1,A91,A101,1,A121,46,A143,A151,2,A173,1,A191,A201,0,46-55
no account,24,critical/other,radio/TV,1516,A64,1-4 years,4,A92,A101,1,A121,43,A143,A152,2,A172,1,A191,A201,1,36-45
